   0.23820,  -0.46857,   0.49623,   0.31174,  -0.36259,  -0.15984,   0.75360,  -0.70767,   0.36518,   0.53504
  -0.02013,   0.88176,  -0.87643,   0.42347,   0.30452,   0.29604,   0.54776,   0.93750,   0.93750,  -0.78621
   0.93750,   0.93750,  -0.09572,   0.36993,  -0.93750,  -0.30893,   0.93750,  -0.01423,   0.86786,   0.93750
  -0.87359,  -0.14419,  -0.16508,   0.27997,  -0.76612,  -0.30115,   0.27561,  -0.26083,  -0.16438,  -0.87773
   0.91261,   0.75881,  -0.66456,  -0.93750,   0.93530,  -0.93750,   0.93750,   0.82555,   0.93750,  -0.56477
  -0.59567,  -0.09669,   0.44806,   0.22602,   0.93750,   0.87570,  -0.93750,  -0.87361,  -0.55326,   0.59477
   0.19650,   0.48694,  -0.80252,   0.27460,   0.07948,  -0.89435,  -0.31892,   0.92141,   0.32386,  -0.93750
   0.30077,   0.17928,   0.17978,   0.07114,  -0.71710,   0.56529,  -0.13470,   0.42460,  -0.15134,  -0.33276
  -0.87759,  -0.87398,   0.93750,  -0.67772,   0.93750,  -0.89173,  -0.63829,  -0.93750,  -0.81390,   0.65654
  -0.34927,   0.93750,  -0.84396,   0.55705,   0.87858,  -0.76201,  -0.50086,  -0.82511,  -0.87775,  -0.79452
  -0.53980,  -0.41688,   0.87064,   0.87304,  -0.69727,   0.93750,  -0.74369,  -0.61934,  -0.15043,  -0.63712
   0.29920,   0.60955,  -0.93750,   0.77975,   0.65860,  -0.29259,  -0.93750,   0.08567,  -0.77574,   0.63741
  -0.10060,   0.56153,   0.04500,   0.67421,   0.93750,  -0.87034,  -0.87910,   0.81415,  -0.78202,   0.06924
   0.64078,   0.83444,  -0.48591,  -0.38963,   0.00745,  -0.50199,  -0.78630,  -0.12844,   0.77934,  -0.86202
   0.93750,   0.93750,   0.93750,   0.13484,   0.93750,   0.39454,  -0.74876,  -0.90441,   0.93750,   0.93750
   0.08573,   0.16774,  -0.76463,  -0.93750,   0.93750,   0.91901,   0.93750,   0.93750,  -0.87190,  -0.01021
  -0.93750,  -0.19615,  -0.93750,   0.93750,  -0.93750,   0.87820,   0.69185,  -0.93750,   0.43548,  -0.30859
  -0.38974,   0.93750,  -0.54941,  -0.66094,  -0.93750,   0.35502,  -0.86386,  -0.85884,   0.23177,  -0.57137
   0.16561,   0.86991,   0.13822,   0.93750,  -0.12328,  -0.93750,  -0.69832,  -0.20701,  -0.31837,   0.93750
  -0.13268,   0.83238,   0.00716,  -0.53247,  -0.43075,  -0.00328,   0.06255,   0.51062,   0.10670,   0.32640
  -0.20006,  -0.93750,   0.79320,  -0.87498,   0.93750,  -0.10866,   0.12673,  -0.72558,   0.61622,   0.93750
  -0.27606,  -0.80528,  -0.43354,   0.51724,  -0.87328,   0.12895,  -0.15264,  -0.93750,   0.16944,  -0.74067
   0.61057,  -0.93750,   0.93750,  -0.63122,   0.93750,   0.89254,  -0.93750,  -0.93750,   0.93750,  -0.29068
  -0.41755,   0.93750,  -0.93750,  -0.09547,   0.23108,  -0.25359,   0.93750,   0.93750,   0.46036,  -0.29578
  -0.23267,   0.51681,   0.84715,  -0.43900,   0.58397,   0.64385,  -0.33731,  -0.87184,   0.21059,  -0.69755
  -0.93750,   0.66156,   0.46078,   0.64835,   0.40716,  -0.18284,  -0.87975,  -0.66561,  -0.09454,  -0.24395
  -0.82586,  -0.78991,  -0.39867,  -0.67124,   0.75963,  -0.10862,  -0.11877,   0.93750,   0.18852,  -0.93750
   0.56434,   0.74772,  -0.93750,   0.93750,  -0.86641,  -0.80732,   0.55199,  -0.87370,   0.87215,  -0.73608
  -0.93750,  -0.13524,  -0.93750,   0.13014,  -0.93750,  -0.06686,  -0.77226,   0.93750,   0.09126,   0.11944
  -0.71977,   0.53819,  -0.14776,  -0.48879,   0.38698,  -0.25734,  -0.45528,  -0.41959,   0.90407,   0.70840
   0.93750,  -0.69825,   0.93750,  -0.80891,  -0.93750,  -0.42440,  -0.87304,   0.66894,  -0.24863,  -0.56083
   0.62481,   0.58434,   0.05492,   0.83609,  -0.03490,   0.13286,   0.93750,  -0.93750,   0.93750,   0.54674
   0.93750,  -0.93750,  -0.06848,  -0.37978,   0.93750,   0.79268,   0.93750,  -0.29027,  -0.20908,  -0.26535
   0.60084,   0.41748,  -0.73906,   0.17139,   0.93750,   0.61437,  -0.93750,  -0.61864,  -0.68867,  -0.81825
   0.52488,  -0.03075,  -0.10658,   0.15147,   0.93750,   0.29131,   0.74654,   0.81935,   0.93444,   0.06077
  -0.61118,   0.28066,  -0.80581,  -0.01511,   0.13949,   0.93750,   0.93750,  -0.75886,  -0.32478,   0.88748
   0.51883,   0.93750,   0.88084,  -0.93750,  -0.87413,  -0.13447,  -0.12098,  -0.11721,  -0.17673,   0.93750
  -0.00578,   0.93750,  -0.81164,  -0.93750,  -0.93750,  -0.93750,   0.77197,   0.70024,   0.93750,   0.77814
  -0.06497,   0.61980,   0.93750,   0.31899,   0.38328,  -0.23595,  -0.93750,  -0.00568,  -0.24197,   0.62887
   0.93750,   0.39826,   0.82368,  -0.47557,   0.15762,  -0.83359,   0.00490,  -0.29256,   0.80409,  -0.18052
   0.89408,  -0.91759,  -0.53086,  -0.23355,   0.15878,  -0.70403,   0.23327,   0.47635,   0.76355,  -0.63703
   0.00570,  -0.02371,   0.67375,  -0.93750,   0.29417,  -0.87458,   0.18494,  -0.93750,   0.02303,   0.93750
  -0.00812,  -0.24602,  -0.81810,   0.34953,   0.71828,  -0.16009,   0.93750,   0.28764,  -0.87538,   0.93750
   0.86993,   0.77124,   0.73769,   0.22495,   0.93750,  -0.93750,   0.93750,   0.93750,   0.33262,   0.93750
  -0.31907,  -0.00102,  -0.81361,  -0.71913,   0.60013,   0.93750,  -0.85862,   0.93750,   0.69278,  -0.15381
  -0.48383,   0.29071,   0.67155,  -0.47213,   0.93750,  -0.08181,   0.21568,  -0.21537,   0.38406,   0.43928
   0.60624,   0.93750,  -0.93750,  -0.93750,   0.93750,   0.93750,   0.03773,  -0.93750,   0.10000,   0.93316
  -0.38033,  -0.23471,   0.54888,   0.19200,   0.36378,   0.65454,   0.92802,  -0.86353,   0.52800,  -0.38642
   0.15970,   0.73440,  -0.65456,  -0.93750,   0.93750,  -0.52468,   0.75079,   0.88512,  -0.51991,   0.09138
  -0.01908,   0.87516,   0.14484,  -0.42959,   0.32908,  -0.04592,  -0.58756,   0.05824,  -0.93750,  -0.56897
  -0.74925,  -0.93750,  -0.23610,  -0.10003,   0.55321,  -0.48738,   0.50876,  -0.44900,   0.25203,   0.46497
   0.32822,   0.70286,  -0.68439,  -0.27671,  -0.45635,  -0.78013,  -0.21807,   0.93750,   0.48985,   0.87462
   0.69641,   0.93750,  -0.74344,   0.00226,  -0.74865,   0.70989,   0.63524,   0.24462,  -0.03090,   0.87065
  -0.44124,   0.88887,  -0.93750,   0.25121,  -0.05597,  -0.45065,   0.05674,  -0.71121,  -0.04647,  -0.42417
  -0.87135,   0.34484,  -0.52255,  -0.62653,   0.23893,   0.28883,  -0.00360,   0.43803,  -0.16202,  -0.42379
  -0.23599,   0.93750,  -0.00579,  -0.69718,   0.86655,   0.87749,  -0.87352,   0.93750,   0.21912,  -0.02037
  -0.47338,   0.80422,  -0.25819,  -0.72931,  -0.57526,   0.49901,   0.57431,  -0.86704,   0.81470,  -0.41160
  -0.38327,  -0.93750,  -0.92093,  -0.55691,   0.16848,  -0.93750,   0.93750,  -0.86631,   0.93750,  -0.93750
  -0.93750,  -0.05943,   0.09494,  -0.63534,  -0.93750,  -0.43527,  -0.93750,  -0.93750,   0.33034,  -0.93750
  -0.63492,  -0.77722,  -0.93750,  -0.82043,  -0.84723,   0.93750,  -0.82037,  -0.81349,  -0.90707,  -0.08878
  -0.04736,   0.50221,   0.54956,   0.62157,   0.49812,   0.54721,   0.74327,   0.13672,   0.04216,   0.08590
  -0.62257,   0.22452,  -0.88434,   0.93750,   0.93750,  -0.81098,   0.93750,  -0.62677,   0.39015,  -0.21592
  -0.44903,  -0.01257,  -0.04836,  -0.50575,   0.10650,  -0.51483,   0.51069,   0.48172,  -0.74575,  -0.26616
   0.93750,  -0.27130,   0.87046,  -0.84031,   0.86874,   0.20166,   0.30607,  -0.80664,   0.05102,  -0.80367
  -0.93750,  -0.03021,   0.93750,  -0.87298,  -0.87749,  -0.93750,  -0.19487,   0.93750,  -0.24152,  -0.02780
  -0.88046,  -0.03735,  -0.81314,  -0.87216,   0.25868,   0.81156,  -0.21166,   0.49437,   0.87573,  -0.10277
  -0.58838,   0.01114,   0.24393,  -0.45406,  -0.14315,  -0.21274,   0.00899,   0.81229,   0.38652,   0.18047
   0.65799,   0.32354,   0.93750,  -0.93750,  -0.20368,   0.73729,   0.54756,  -0.93750,   0.72143,   0.15725
  -0.17426,   0.93750,  -0.87767,  -0.41905,   0.14976,  -0.87286,   0.05473,   0.84020,  -0.93750,   0.28794
  -0.74621,  -0.12904,   0.92675,   0.26753,   0.54896,  -0.93378,  -0.61327,  -0.93750,  -0.49836,   0.23936
   0.83712,  -0.74040,   0.26296,  -0.43359,   0.69676,   0.00879,   0.81729,  -0.78974,  -0.05707,  -0.43046
   0.93750,   0.65782,   0.92940,  -0.93750,   0.33030,  -0.07910,  -0.93750,  -0.12836,  -0.34201,   0.01192
   0.22626,  -0.93750,  -0.56307,  -0.24944,  -0.87126,  -0.78076,   0.33777,  -0.47250,  -0.87532,   0.93750
  -0.93750,  -0.86478,  -0.86826,   0.93750,  -0.87864,   0.62783,  -0.75766,   0.80179,   0.55334,  -0.93750
  -0.86885,   0.83064,   0.19106,   0.25746,  -0.29672,  -0.13274,   0.36228,  -0.93750,  -0.23600,   0.26366
  -0.23960,   0.93750,   0.03110,  -0.93750,  -0.87824,  -0.64672,   0.20554,   0.78869,   0.10893,  -0.69114
  -0.81123,   0.72794,  -0.47326,  -0.81293,  -0.82305,  -0.81573,   0.69795,   0.76321,   0.51226,   0.26554
  -0.90350,   0.93750,   0.72378,  -0.93750,   0.93750,   0.93750,  -0.24350,   0.93086,   0.14929,  -0.56668
  -0.87282,  -0.11152,   0.52619,   0.93750,  -0.18555,  -0.69062,   0.93750,   0.93750,  -0.25960,   0.56783
   0.69200,  -0.34485,  -0.81561,  -0.88313,  -0.63512,   0.88123,  -0.69857,   0.14133,   0.74456,   0.81626
   0.47331,  -0.07268,  -0.55418,  -0.57762,  -0.48989,  -0.59931,  -0.05688,  -0.50957,   0.68343,   0.42272
   0.93750,  -0.93750,  -0.07478,  -0.93750,  -0.93750,  -0.93750,   0.93750,  -0.93750,  -0.75088,  -0.93750
   0.42110,   0.74443,  -0.74250,   0.12391,   0.93750,  -0.52729,  -0.70584,  -0.55399,   0.86396,  -0.74449
   0.33658,  -0.77416,   0.57714,  -0.65906,   0.87336,  -0.18720,   0.50164,  -0.71918,   0.79355,   0.16625
   0.12432,   0.80717,  -0.69801,  -0.33819,   0.50849,  -0.81030,   0.73690,  -0.90955,   0.27608,  -0.79873
   0.66927,  -0.93750,  -0.75039,   0.93750,   0.88181,   0.93750,  -0.87547,   0.83431,  -0.80000,  -0.86372
   0.22304,   0.74347,  -0.33036,  -0.61420,   0.10004,  -0.74905,   0.44120,  -0.18655,  -0.50237,  -0.27276
  -0.84970,   0.89884,  -0.08173,  -0.93750,   0.93750,  -0.33553,  -0.00983,  -0.93750,   0.12632,  -0.03292
   0.42054,   0.65794,  -0.93750,   0.93750,  -0.33543,  -0.93750,  -0.93750,   0.93750,   0.93750,  -0.93750
   0.93750,  -0.15143,  -0.79203,   0.89938,  -0.53599,  -0.80046,   0.48937,  -0.69907,   0.20293,  -0.87231
