   0.02302,  -0.55396,   0.79698,  -0.54949,  -0.27113,   0.28593,  -0.46793,   0.16658,  -0.68211,  -0.38585,  -0.24905,  -0.39744,  -0.44834,   0.11923,   0.82440,  -0.53791,   0.39621,   0.43678,  -0.59995,  -0.20652,   0.55392,   0.73978,   0.47700,  -0.50758,  -0.58823,  -0.64866,  -0.20953,  -0.05456,  -0.40199,  -0.07895,   0.82347,  -0.30489,  -0.54494,  -0.09160,  -0.59036,   0.74716,   0.65222,  -0.34566,  -0.46302,  -0.66731,   0.87190,   0.09801,  -0.34706,  -0.54448,  -0.62176,   0.48992,   0.74859,   0.53966,  -0.83058,  -0.90778,   0.71422,  -0.45844,  -0.30735,  -0.05972,  -0.19937,   0.50142,  -0.82011,   0.06406,   0.40227,  -0.40708,   0.60997,  -0.06586,  -0.11922,   0.52833,  -0.50708,   0.18177,   0.55004,   0.74401,  -0.60928,   0.55670,   0.84966,   0.38314,  -0.25143,   0.41706,  -0.01949,  -0.36734,   0.37625,  -0.67015,  -0.60566,  -0.46637,  -0.16736,   0.66821,  -0.01355,  -0.48564,   0.00531,  -0.54656,   0.22533,  -0.33553,   0.77942,  -0.23189,  -0.11004,  -0.78400,  -0.40310,   0.27141,  -0.46549,   0.45898,   0.74016,   0.10916,   0.11433,   0.53065,   0.35486,   0.51269,  -0.20141,  -0.15985,   0.56877,  -0.50982,  -0.36804,  -0.23383,   0.40379,  -0.20972,  -0.42739,  -0.66011,  -0.45084,  -0.78170,  -0.40281,  -0.60788,   0.88382,   0.39837,  -0.18887,  -0.34769,   0.78588,   0.74820,  -0.69575,   0.05392,  -0.79460,  -0.27461,   0.59389,   0.46390
  -0.27925,  -0.63912,  -0.38570,  -0.45201,  -0.37773,  -0.05952,  -0.62647,  -0.58673,   0.33567,  -0.57292,  -0.72135,  -0.59075,   0.81461,  -0.26680,  -0.35652,  -0.15187,   0.27791,  -0.26076,  -0.02186,   0.86690,  -0.71019,   0.20795,  -0.30781,  -0.51480,  -0.59300,  -0.14848,   0.57937,  -0.37694,  -0.35046,   0.61057,  -0.05635,   0.62235,   0.11141,  -0.04837,  -0.15918,   0.61121,   0.41524,  -0.23626,   0.19835,  -0.14828,   0.45645,   0.21122,   0.01778,   0.47963,  -0.52774,  -0.04344,   0.71768,  -0.43588,  -0.34341,   0.63916,   0.49484,   0.19151,   0.70333,  -0.02040,  -0.43093,   0.46666,   0.80787,   0.04390,   0.66670,  -0.31438,   0.17804,  -0.24462,  -0.18464,   0.18330,  -0.64113,   0.84375,   0.58663,  -0.50242,   0.09956,  -0.33335,  -0.01543,  -0.20015,   0.26170,  -0.36226,  -0.62928,  -0.07310,   0.17802,  -0.77455,  -0.41317,  -0.25399,   0.18532,  -0.01402,  -0.20849,  -0.08947,   0.87429,  -0.43021,  -0.56438,   0.00551,  -0.50691,  -0.11647,   0.77548,   0.64140,  -0.42190,   0.80292,   0.13815,   0.08606,  -0.01497,   0.79084,  -0.61272,  -0.86906,   0.27947,   0.16600,  -0.32921,  -0.39449,   0.11798,   0.51778,   0.37439,  -0.20596,   0.79215,  -0.01075,   0.42781,  -0.52960,  -0.03454,   0.34353,  -0.52436,  -0.50521,  -0.25444,  -0.29940,  -0.69955,   0.58912,   0.47109,  -0.25995,   0.11146,   0.18270,   0.61971,   0.64246,   0.86314,   0.24951
   0.50633,  -0.65512,   0.56917,   0.32684,  -0.24641,  -0.42981,  -0.06483,  -0.12992,  -0.59785,  -0.34019,   0.14554,   0.62507,   0.77958,  -0.42941,  -0.18034,   0.80173,   0.65784,  -0.69862,   0.73815,  -0.48747,  -0.56212,   0.41455,  -0.68308,   0.30067,   0.62160,   0.85018,  -0.16097,   0.91431,  -0.72904,   0.78882,   0.05274,  -0.03201,   0.47772,  -0.22725,   0.63057,  -0.02886,  -0.66260,   0.65720,  -0.35752,  -0.71605,  -0.54492,  -0.09865,  -0.49775,   0.42330,   0.49419,   0.40069,   0.16503,  -0.36708,  -0.41412,   0.69363,   0.07119,   0.12960,   0.70409,   0.84297,  -0.31819,   0.53390,   0.38764,  -0.32509,   0.27663,  -0.64786,   0.10720,  -0.39684,   0.80473,  -0.55686,  -0.20138,  -0.53404,  -0.58219,  -0.63261,  -0.69462,   0.58125,   0.64198,   0.01929,   0.05703,  -0.35936,   0.55779,   0.20539,  -0.72239,   0.18299,   0.74386,  -0.13636,  -0.63981,  -0.30527,   0.55180,  -0.51580,   0.22021,  -0.71567,  -0.63843,   0.78560,   0.11438,   0.76670,   0.16750,  -0.34367,  -0.46077,   0.28600,  -0.38479,   0.75474,   0.53022,   0.53012,  -0.65265,   0.68981,  -0.29181,   0.33868,  -0.28372,  -0.33197,   0.36881,  -0.44109,  -0.75869,   0.75339,   0.26081,  -0.41977,  -0.78180,   0.39739,  -0.61658,  -0.51972,  -0.66387,  -0.81861,   0.66350,   0.77470,   0.79739,   0.58376,  -0.31737,  -0.54227,  -0.18163,   0.19791,  -0.55067,   0.75713,  -0.20477,  -0.42867
  -0.40294,  -0.59404,  -0.53382,   0.69647,  -0.47611,  -0.38451,   0.57158,  -0.18335,  -0.32573,   0.61286,  -0.28054,   0.79147,  -0.00523,   0.49703,  -0.29021,  -0.25606,   0.05446,  -0.13839,  -0.25358,  -0.27569,   0.33661,  -0.73124,  -0.28737,   0.00782,  -0.56135,  -0.05549,  -0.19930,   0.53089,  -0.52602,  -0.14613,   0.81420,  -0.54098,   0.89347,  -0.12506,  -0.25212,  -0.10058,   0.26227,  -0.34680,  -0.33309,   0.16148,  -0.54901,   0.20522,  -0.43986,  -0.62329,  -0.59795,   0.32846,   0.66101,   0.36531,  -0.73334,   0.24120,  -0.49338,  -0.45644,   0.44511,   0.29795,   0.12599,  -0.20201,  -0.12933,   0.24006,  -0.48802,  -0.09796,   0.85113,   0.93805,  -0.58915,   0.52471,  -0.54776,   0.00514,  -0.05478,  -0.60373,  -0.55793,   0.69428,   0.66191,   0.26918,   0.57467,  -0.16047,  -0.01808,  -0.14416,   0.67360,   0.55851,   0.20859,   0.19848,   0.43778,  -0.44307,  -0.26940,  -0.52996,   0.75732,  -0.58325,   0.71676,   0.06613,  -0.33582,   0.47377,  -0.66193,  -0.71490,  -0.53044,   0.17839,   0.34104,   0.02950,  -0.62603,   0.64414,  -0.77314,  -0.25128,   0.10128,  -0.54261,  -0.42963,  -0.51532,  -0.24053,  -0.19860,  -0.54564,  -0.37689,  -0.58118,  -0.65758,   0.81470,   0.53458,  -0.69592,  -0.47022,   0.28745,   0.56187,  -0.38008,   0.75414,   0.35924,   0.29184,   0.31909,   0.74244,   0.45450,   0.42837,   0.88459,  -0.60367,   0.07898,   0.73175
  -0.13109,  -0.39527,   0.54233,  -0.33670,   0.02647,  -0.42868,  -0.21389,   0.68404,  -0.62769,  -0.17358,   0.38410,   0.44923,  -0.40660,  -0.14514,  -0.09233,  -0.56226,  -0.36661,  -0.47791,   0.81503,  -0.75358,  -0.56799,  -0.07747,  -0.53582,   0.70791,   0.62261,   0.79870,  -0.66976,  -0.58781,  -0.43493,  -0.54369,   0.22209,   0.54325,   0.05057,   0.44382,   0.55438,  -0.38124,   0.62950,  -0.17610,   0.29047,  -0.74767,   0.01864,   0.53259,  -0.72248,  -0.62432,  -0.55104,   0.51781,   0.36556,  -0.32752,  -0.54475,   0.32623,  -0.25370,   0.50211,  -0.65034,   0.52365,   0.09024,  -0.23594,  -0.34584,   0.01279,  -0.60489,  -0.56410,  -0.34659,   0.75848,  -0.61479,   0.71898,  -0.55281,  -0.33635,   0.82502,  -0.61064,   0.31371,  -0.57469,   0.07481,   0.39580,   0.43007,  -0.15557,   0.63053,   0.41271,   0.65636,  -0.55252,   0.74721,  -0.48388,  -0.26886,  -0.44489,  -0.10408,   0.32581,  -0.82080,   0.75077,   0.74432,  -0.35999,  -0.41802,   0.54009,  -0.64402,   0.81076,   0.75365,  -0.21260,  -0.27929,  -0.38282,   0.40324,   0.75271,   0.23396,  -0.78806,   0.62869,   0.28762,   0.41771,  -0.61729,  -0.77955,  -0.32460,   0.21718,  -0.21731,   0.01879,   0.50531,  -0.53959,   0.88284,   0.10607,  -0.48581,  -0.26561,   0.29216,  -0.05113,  -0.67300,   0.73244,   0.26655,   0.13814,   0.12925,  -0.04804,   0.06502,   0.57239,  -0.64086,   0.11062,   0.17061
   0.65456,  -0.03433,  -0.75193,  -0.47202,  -0.41624,  -0.38050,   0.37196,  -0.30080,   0.74934,  -0.08614,  -0.03541,   0.49274,  -0.45859,  -0.31484,  -0.26951,  -0.61793,   0.12992,   0.88819,  -0.07574,  -0.37148,   0.66102,  -0.44256,  -0.46840,  -0.26780,   0.68921,   0.30935,   0.59364,  -0.06048,  -0.33346,  -0.27693,   0.60552,  -0.58546,  -0.26731,  -0.27052,  -0.29592,  -0.25257,   0.45265,   0.44938,  -0.32279,  -0.52949,   0.33875,   0.35593,   0.33496,   0.80402,  -0.36270,   0.74795,  -0.20466,  -0.02382,  -0.51473,  -0.65206,  -0.00869,   0.72484,  -0.17515,   0.18181,  -0.36055,  -0.07028,  -0.67934,  -0.37645,   0.09419,  -0.58058,  -0.17710,   0.83344,   0.29013,   0.63000,  -0.57651,   0.45643,   0.93076,   0.70565,  -0.45649,   0.28609,   0.47934,  -0.14371,   0.26783,   0.74281,  -0.24245,  -0.26578,  -0.48575,  -0.64334,   0.85076,  -0.74945,   0.16818,  -0.15965,   0.93750,  -0.40146,   0.18111,   0.25801,   0.04527,   0.67202,  -0.69763,  -0.11627,  -0.31463,   0.49646,   0.55131,  -0.37405,  -0.32864,  -0.16562,  -0.34517,  -0.60531,   0.28971,   0.35786,  -0.47558,  -0.80702,  -0.39504,   0.06697,  -0.45846,  -0.28501,  -0.70017,  -0.45166,   0.51626,   0.69377,  -0.44666,   0.71074,   0.62681,  -0.00388,  -0.25932,  -0.39961,  -0.29442,  -0.68585,  -0.23060,   0.60028,  -0.70304,  -0.43550,   0.69064,   0.07797,  -0.80917,   0.67975,  -0.52498,   0.09439
  -0.51035,  -0.25466,  -0.91608,   0.59103,  -0.24739,  -0.22061,   0.65699,  -0.44866,  -0.87097,   0.23901,  -0.16842,  -0.36713,   0.38748,  -0.31112,  -0.36950,  -0.54988,   0.67017,  -0.36711,  -0.78047,   0.50251,  -0.57138,  -0.44516,   0.14452,   0.80338,  -0.52702,  -0.35982,   0.42088,   0.43907,  -0.04035,   0.01345,   0.61297,  -0.54799,  -0.58434,   0.60750,   0.11399,   0.62562,   0.89205,  -0.28273,   0.77599,   0.76424,  -0.56203,   0.50623,  -0.56884,   0.80430,   0.62390,  -0.22376,  -0.23974,   0.62271,   0.07804,  -0.61941,  -0.51159,  -0.63005,   0.49663,   0.65001,   0.35490,  -0.21444,   0.87698,  -0.43693,   0.38597,  -0.63003,  -0.79327,   0.72709,  -0.23523,   0.62767,  -0.57859,   0.73672,  -0.46282,   0.62923,   0.65843,  -0.67374,  -0.39374,   0.02937,  -0.25698,  -0.52319,  -0.52246,  -0.56623,  -0.35776,   0.85774,  -0.36775,  -0.56639,   0.60853,  -0.03373,  -0.60211,  -0.22106,  -0.01243,  -0.29687,  -0.10276,   0.66060,   0.21000,   0.81144,  -0.35092,  -0.83358,   0.80333,   0.08699,  -0.63967,  -0.25656,  -0.47403,   0.40601,   0.38845,   0.61072,   0.81715,  -0.68148,  -0.40914,   0.28514,   0.82265,  -0.43606,   0.51535,  -0.22103,   0.16039,   0.40126,  -0.10046,   0.93750,   0.26199,  -0.21123,  -0.20005,  -0.34135,   0.08866,  -0.30353,  -0.28231,   0.48089,  -0.27048,  -0.54524,  -0.48530,  -0.68866,  -0.74627,   0.17367,  -0.20063,  -0.29807
  -0.65702,  -0.62154,  -0.25492,  -0.10041,  -0.59648,  -0.52553,   0.88383,   0.52440,   0.35629,   0.27750,  -0.14639,  -0.28475,   0.11955,  -0.28186,  -0.02870,  -0.74714,   0.67803,  -0.50646,   0.52940,   0.60079,   0.76481,  -0.55264,  -0.19307,   0.26494,   0.74459,  -0.75193,  -0.43219,   0.63802,  -0.16149,   0.20044,  -0.33736,  -0.39985,  -0.01783,  -0.13449,  -0.55666,   0.80549,  -0.57019,   0.01449,  -0.50713,  -0.66556,   0.67549,  -0.09852,   0.27628,   0.17805,   0.79203,  -0.10650,   0.19253,  -0.48952,   0.87311,   0.67301,  -0.61518,  -0.22091,  -0.40733,  -0.62877,  -0.06251,   0.69786,  -0.33695,   0.41109,   0.44452,  -0.25406,  -0.24862,  -0.38941,   0.33800,  -0.21554,  -0.44185,   0.82363,   0.87716,   0.78247,   0.65194,  -0.79706,  -0.36862,   0.39292,   0.31369,  -0.77233,  -0.03069,  -0.29425,   0.62160,   0.21017,  -0.26848,  -0.49236,   0.79141,  -0.37537,  -0.26675,  -0.58489,  -0.28045,   0.18142,   0.23946,   0.56921,  -0.19184,  -0.29546,  -0.55772,  -0.46436,   0.86819,   0.59634,   0.40322,  -0.26973,  -0.48047,  -0.46755,  -0.52583,  -0.14116,  -0.66163,  -0.72454,   0.28623,  -0.18416,  -0.63315,  -0.45500,  -0.40677,   0.38195,  -0.93427,   0.86280,   0.87545,   0.69821,   0.65658,  -0.25399,  -0.30296,   0.31575,  -0.26581,   0.38340,  -0.22318,  -0.19862,   0.07429,   0.55756,   0.16726,   0.42043,   0.19220,   0.20971,   0.68735,  -0.33230
  -0.63706,  -0.29233,  -0.10561,   0.69633,  -0.40070,  -0.38139,   0.49385,   0.33357,  -0.94706,  -0.33773,  -0.29033,   0.75395,  -0.62891,  -0.09863,   0.59208,  -0.46630,   0.80045,  -0.12249,   0.30725,  -0.16845,  -0.47253,  -0.61657,  -0.48998,   0.13194,  -0.39088,  -0.07598,  -0.02150,   0.27262,  -0.52585,  -0.62132,  -0.20308,  -0.50097,  -0.67840,   0.00832,  -0.16156,   0.75607,  -0.40033,  -0.24841,  -0.53951,   0.07301,  -0.53197,  -0.28233,  -0.21097,   0.85175,  -0.36603,  -0.00724,  -0.35026,  -0.21134,   0.78007,  -0.81022,   0.11482,  -0.64173,  -0.68147,   0.86837,  -0.39339,  -0.71556,   0.87323,  -0.26030,   0.87999,  -0.48886,  -0.44745,   0.82091,   0.83626,   0.27687,  -0.04780,   0.05014,  -0.45037,  -0.00244,   0.72178,  -0.68400,  -0.28052,  -0.43597,   0.02102,   0.41461,  -0.45613,  -0.37226,  -0.06167,   0.87893,  -0.33685,   0.32483,   0.79377,  -0.36034,   0.07239,  -0.49356,   0.86842,  -0.20150,   0.42493,   0.47402,  -0.69086,   0.54624,   0.62392,  -0.26760,   0.59848,  -0.32471,  -0.24934,  -0.63268,  -0.17969,  -0.70922,  -0.41125,   0.17276,   0.08583,  -0.44948,   0.18078,  -0.31270,   0.52355,  -0.47019,   0.35964,   0.06377,   0.13877,  -0.25297,  -0.33490,  -0.81897,  -0.40057,   0.25463,   0.01273,  -0.40321,   0.35012,  -0.45235,   0.15129,   0.13019,  -0.52444,  -0.56888,   0.76205,   0.06787,   0.66903,  -0.04258,   0.20363,  -0.44708
   0.68570,   0.73282,  -0.88101,  -0.56448,   0.46824,   0.33408,   0.22492,   0.16090,   0.71244,   0.15366,  -0.29827,  -0.54951,  -0.47816,  -0.49763,  -0.02472,   0.03119,   0.76049,  -0.52596,  -0.63397,   0.70070,  -0.45997,   0.19107,   0.07601,  -0.47074,  -0.68266,  -0.65992,   0.18763,  -0.51659,  -0.23842,  -0.11297,  -0.41963,   0.84116,  -0.56811,   0.61931,   0.34859,  -0.37452,   0.06404,  -0.68402,   0.83105,  -0.31318,   0.77058,   0.17157,   0.74832,   0.08941,  -0.42726,  -0.56358,  -0.54088,   0.91316,   0.33962,   0.93537,   0.69873,   0.86887,  -0.17151,  -0.10286,   0.79768,   0.32175,  -0.52950,   0.45330,  -0.51298,  -0.76229,  -0.48373,  -0.21595,   0.30015,  -0.49071,   0.78010,  -0.53964,   0.65810,  -0.60091,  -0.06200,   0.76435,  -0.35111,   0.93750,   0.33694,  -0.66139,   0.18425,  -0.38607,   0.73167,   0.04185,  -0.72924,  -0.44287,  -0.29143,   0.86091,   0.67659,   0.60325,  -0.72660,  -0.81952,   0.61912,   0.86492,   0.92944,  -0.63837,   0.26556,   0.66321,   0.06984,   0.65188,  -0.30285,   0.50529,  -0.71963,  -0.60117,   0.34655,  -0.79836,  -0.52120,  -0.21043,   0.50607,  -0.32814,  -0.93750,   0.18458,   0.36160,   0.71827,   0.23674,  -0.62277,  -0.24980,  -0.78798,   0.92529,  -0.45273,   0.06188,   0.09426,   0.76821,  -0.29472,  -0.14992,  -0.58360,  -0.15381,   0.76836,   0.43227,  -0.06426,  -0.51807,   0.49080,  -0.13293,   0.53502
